gez;neci;Company;Segment;City;State/Country;Booth;Website;Description;Role;Status;Emails;SocialLinks;MetaDescription;ReportPath;Extracted_Products;Extracted_Services;Inferred_Website
;;Constructem;Interior Finishings & Home Living;New York;New York;S11040;https://www.buildersshow.com/exhibitor/constructem;Constructem – Accurate & Reliable Construction Estimating Services A precise and trustworthy construction estimate is the backbone of any successful project. Inaccurate estimates can lead to budget overruns, reduced scope, or compromised quality. At Constructem, we take the guesswork out of construction planning. Our expert team provides reliable, cost-effective, and accurate construction estimating services across the USA, helping you make informed decisions and stay on budget. Don’t leave your project to chance—get a professional estimate in just a few days and ensure your construction success.;Product;No Website Found;;;;offline_dossier/detailed_reports/constructem/report.md;;Construction estimating services;constructem.com
;;Construction Solutions;Building Materials;Phoenix;Arizona;W4383;https://www.buildersshow.com/exhibitor/constructionsolutions;Construction Solutions, LLC is a leading building products company specializing in residential and commercial dryer box vent solutions. Thoughtfully designed, and tested to meet the 1-hour or 2-Hour equal F&T fire rating requirement. You can experience complete peace of mind after installing a DBX dryer vent box at home or commercial laundry room. Used by prominent homebuilders and subcontractors in America, our products are innovative to match your evolving dryer needs.;Product;No Website Found;;;;offline_dossier/detailed_reports/construction-solutions/report.md;DBX dryer vent box;;constructionsolutions.com
n;;ConstructionOnline;Business Management & Professional Services;Auburn;Alabama;S4023;https://www.buildersshow.com/exhibitor/udatechnologies;ConstructionOnline™ delivers industry-leading construction project management software built to streamline operations, increase profitability, and reduce risk. More than 950,000 home builders, general contractors, remodelers, specialty contractors, and construction professionals worldwide trust ConstructionOnline to manage billions of dollars in projects each day. ConstructionOnline and CO™ Mobile provide a fully integrated, cloud-based platform that centralizes financials, schedules, communication, and documentation in one secure system. Key features include: OnCost™ Financial ManagementAdvanced estimating & job costing, QuickBooks + QuickBooks Online integration, custom proposals & contracts, change order management, client selections, costbooks & assemblies, Redline™ Takeoff integration, invoicing & payment tracking. TrueVision™ Business IntelligenceProfit tracking, WIP reporting, multi-project scheduling, resource management, Company Scorecard™ dashboards, and real-time project health. OnPlan™ Scheduling & CalendarsLightning-fast Gantt scheduling, automated task lists with GamePlan™, baselines, automatic predecessors, detailed calendar views, and customizable company + personal calendars. Redline™ Takeoff & PlanroomFully integrated digital takeoff, customizable measurement tools, intelligent sheet scanning with UDAi™, and cloud-based markup and plan sharing. Additional tools include customizable project logs, punch lists with digital signatures, warranty tracking, lead tracking & CRM, insurance tracking, time tracking, RFIs, Submittals, messaging, unlimited cloud file storage, and more. Winner of 40+ top product awards, ConstructionOnline is recognized across the industry as the premier solution for teams seeking maximum financial, operational, and organizational ROI.;Service;No Website Found;;;;offline_dossier/detailed_reports/constructiononline/report.md;ConstructionOnline™, CO™ Mobile, OnCost™ Financial Management, Redline™ Takeoff, Company Scorecard™ dashboards, TrueVision™ Business Intelligence, OnPlan™ Scheduling & Calendars, Redline™ Takeoff & Planroom;financials management, schedules management, communication management, documentation management, quickbooks integration, custom proposals & contracts, change order management, client selections, profit tracking, WIP reporting, multi-project scheduling, resource management, task list automation, digital takeoff, measurement tools, plan sharing, project logs, punch lists, warranty tracking, lead tracking, CRM, insurance tracking, time tracking, RFIs, submittals, messaging, cloud file storage;constructiononline.com
;;Contemporary Closet Concepts;Interior Finishings & Home Living;Bradenton;Florida;S11135;https://www.buildersshow.com/exhibitor/contemporaryclosetconcepts;;Product;No Website Found;;;;offline_dossier/detailed_reports/contemporary-closet-concepts/report.md;;;
;;Continental;Building Materials;Winchester;Virginia;W5843;https://www.buildersshow.com/exhibitor/continentalosullivanfilmsinc;Continental is a global technology company developing sustainable, safe, and efficient solutions for a wide range of industries. Within Continental, the ContiTech group sector delivers innovative material and surface solutions for industrial and construction applications worldwide. The Surface Solutions business unit bundles Continental’s expertise in high-quality films, coated fabrics, and surface materials designed for durability, performance, and design flexibility across multiple end markets.;Product;No Website Found;;;;offline_dossier/detailed_reports/continental/report.md;high-quality films, coated fabrics, surface materials;;continental.com
n;;Contractor Staffing Source;Business Management & Professional Services;San Diego;California;S1004;https://www.buildersshow.com/exhibitor/contractor staffing source;Build a Winning Team—Without the Hiring Headache Contractor Staffing Source helps builders, remodelers, and trades across the U.S. and Canada hire better people, faster—at a fraction of the cost of traditional recruiting. With more than 4,500 hires and a 92% success rate, we know what it takes to build strong, reliable construction teams. Our clients include some of the best high-end custom builders, production home builders, and specialty contractors in North America, all of whom trust us to fill key roles such as project managers, superintendents, estimators, coordinators, office administrators, and skilled trades. Unlike conventional recruiters, we operate on a flat monthly subscription, giving you access to a dedicated four-person recruiting team—an Account Manager, Recruitment Specialist, Pipeline Scanner, and Admin—who work exclusively on your positions. We handle everything from writing compelling job ads and sourcing qualified candidates to screening, assessing, scheduling interviews, and coordinating offers. The result? A consistent flow of qualified candidates and a streamlined process that saves you time, money, and stress. At Contractor Staffing Source, we understand construction because it’s all we do. Our methods are proven to deliver quality hires who stay, helping contractors reduce turnover and scale confidently. Stop wasting time sorting through unqualified resumes or overpaying contingency fees—partner with the recruiting company built for contractors. If you’re attending the International Builders’ Show in Orlando, stop by Booth S1004 to meet our team, learn how we’ve help contractors build winning teams, and get your personalized hiring strategy for the year ahead.;Service;No Website Found;;;;offline_dossier/detailed_reports/contractor-staffing-source/report.md;;hiring better people, recruitment, writing job ads, sourcing candidates, screening candidates, assessing candidates, scheduling interviews, coordinating offers;contractorstaffingsource.com
n;;Contractors Direct;Construction Tools, Systems, Equipment, & Safety;Hamden;Connecticut;W8171;https://www.buildersshow.com/exhibitor/roynette;;Product;No Website Found;;;;offline_dossier/detailed_reports/contractors-direct/report.md;;;
n;;Controllr;Business Management & Professional Services;Edina;Minnesota;S4197;https://www.buildersshow.com/exhibitor/controllr;;Service;No Website Found;;;;offline_dossier/detailed_reports/controllr/report.md;;;
n;;Conventus;Business Management & Professional Services;San Francisco;California;S6032;https://www.buildersshow.com/exhibitor/conventus;;Service;No Website Found;;;;offline_dossier/detailed_reports/conventus/report.md;;;
;;Copeland;Interior Finishings & Home Living;St. Louis;Missouri;S11119;https://www.buildersshow.com/exhibitor/copelandelectronicsandcontrols;;Product;No Website Found;;;;offline_dossier/detailed_reports/copeland/report.md;;;
;;COPPER MOUNTAIN HARDWARE;Interior Finishings & Home Living;Romulus;Michigan;S11122;https://www.buildersshow.com/exhibitor/coppermountainhardware;Copper Mountain Hardware is a Michigan-based purveyor of premium door, cabinet, window, and home hardware—offering timeless elegance blended with durability. Their handcrafted collections include a range of finely detailed items such as gemstone doorknobs, schoolhouse lighting, interior and exterior doorknob sets, cabinet knobs and pulls, pocket door hardware, door knockers, push plates, and more. Each piece is made-to-order and assembled in Michigan, ensuring a high standard of craftsmanship and reliable lead times.;Product;No Website Found;;;;offline_dossier/detailed_reports/copper-mountain-hardware/report.md;gemstone doorknobs, schoolhouse lighting, interior and exterior doorknob sets, cabinet knobs and pulls, pocket door hardware, door knockers, push plates;made-to-order, high standard of craftsmanship, reliable lead times;coppermountainhardware.com
;;CopperFit Industries, Inc. / CFI Plumbing Products, Inc.;Building Materials;Pomona;California;W5287;https://www.buildersshow.com/exhibitor/copperfitindustriesinc;;Product;No Website Found;;;;offline_dossier/detailed_reports/copperfit-industries-inc-cfi-plumbing-products-inc/report.md;;;
n;;Copperweld Bimetallics;Construction Tools, Systems, Equipment, & Safety;Brentwood;Tennessee;S13083;https://www.buildersshow.com/exhibitor/copperweldbimetallics;The Future of Building Wire is Here Copperweld is the world leader in bimetallic wire and cable, specializing in power and grounding conductors for building construction, power grid, utilities, communications, and transportation. For over 110 years, Copperweld’s metallurgical expertise and value-engineering approach have produced bimetallic products that revolutionize industries. Copperweld’s commitment to American-made products lies in sourcing and manufacturing facilities in the heart of the USA, and the culture of excellence and innovation that inspired them over a century ago still drives them today. Copperweld® Copper-Clad Aluminum (CCA) Building Wire is engineered to meet the demands of modern residential, multifamily, and commercial construction. Code-compliant and easy to install, it offers value by stabilizing project costs, improving cycle times, reducing theft incentives, and supporting sustainable building practices through lower copper usage and improved energy efficiency. Builders and electrical contractors are turning to Copperweld CCA Building Wire as the smarter, more sustainable path forward in electrical wiring.;Product;No Website Found;;;;offline_dossier/detailed_reports/copperweld-bimetallics/report.md;bimetallic wire, cable, Copper-Clad Aluminum (CCA) Building Wire;value-engineering;copperweld.com
n;;Coral Construction Technologies;Construction Tools, Systems, Equipment, & Safety;;Czech Republic;W2723;https://www.buildersshow.com/exhibitor/coralconstructiontechnologiess;Coral Construction Technologies represents a revolution in 3D concrete printing and automation in the construction industry. The company utilizes its proprietary 3D Concrete Printing (3DCP) technology, enabling efficient and uncompromising execution of even the most demanding projects - from family homes to complex multi-storey buildings and urban infrastructure. 3D concrete printing brings freedom of form, high precision, and significant savings in material, time, and labor. At the same time, it contributes to sustainability by minimizing waste and energy consumption. Coral is the result of a collaboration between two strong groups - MTX Group, which brings expertise in 3D printing and automation through its subsidiary ICE Industrial Services, and PURPOSIA Group, whose construction division HSF System provides engineering and execution capabilities. Coral Construction Technologies integrates advanced technology, research, and timeless design. The result is effective, aesthetically refined, and technically advanced buildings that push the boundaries of architecture and set a new standard for 21st-century construction.;Product;No Website Found;;;;offline_dossier/detailed_reports/coral-construction-technologies/report.md;3D Concrete Printing (3DCP) technology;3D concrete printing, automation in construction;coralconstructions.com
n;;Cord-Tie;Construction Tools, Systems, Equipment, & Safety;Naperville;Illinois;S12162;https://www.buildersshow.com/exhibitor/cordtie;;Product;No Website Found;;;;offline_dossier/detailed_reports/cord-tie/report.md;;;
;;Cormark International;Outdoor Living, Leisure, & Modular Structures;Weaverville;North Carolina;S2185;https://www.buildersshow.com/exhibitor/cormarkinternational;;Product;No Website Found;;;;offline_dossier/detailed_reports/cormark-international/report.md;;;
;;Corradi USA;Outdoor Living, Leisure, & Modular Structures;Carrolton;Texas;S6185;https://www.buildersshow.com/exhibitor/corradiusa;Corradi is an innovative outdoor shading manufacturer with a comprehensive line of products that exemplify European design, functionality, and exceptional weather protection. Solutions offered include pergolas, louvered roofs, solar screens, awnings, and shade sails.;Product;No Website Found;;;;offline_dossier/detailed_reports/corradi-usa/report.md;pergolas, louvered roofs, solar screens, awnings, shade sails;;corradiusa.com
n;;Cover Guard;Construction Tools, Systems, Equipment, & Safety;Canton;Massachusetts;S11178;https://www.buildersshow.com/exhibitor/coverguarddivofbainbridgeinter;;Product;No Website Found;;;;offline_dossier/detailed_reports/cover-guard/report.md;;;
;;Crazy Ape Extreme Equipment;Outdoor Living, Leisure, & Modular Structures;Regina;Saskatchewan, Canada;S4169;https://www.buildersshow.com/exhibitor/crazyapeextremeequipment;Crazy Ape is a Canada-based manufacturer specializing in premium trampolines and related equipment for both personal and commercial use. With a rich legacy dating back to the late 1970s, we have built a reputation for delivering innovative, custom-made trampoline solutions for families, trampoline parks, and professional athletes worldwide. Each trampoline is meticulously crafted to meet the unique needs of our clients. We offer a wide range of materials, colors, shapes, sizes, and configurations, ensuring a perfect fit for every family and facility. Built with the highest-quality materials, our trampolines are designed to withstand even the harshest Canadian winters, ensuring year-round enjoyment. Beyond trampolines, Crazy Ape also manufactures commercial-grade ninja warrior courses, trampoline park equipment, gymnastics padding, and crash pads for rock climbing gyms across North America. All design and fabrication take place at our facility in Regina, Saskatchewan, where we pride ourselves on delivering top-tier, made-in-Canada craftsmanship.;Product;No Website Found;;;;offline_dossier/detailed_reports/crazy-ape-extreme-equipment/report.md;premium trampolines, ninja warrior courses, trampoline park equipment, gymnastics padding, crash pads for rock climbing gyms;custom-made trampoline solutions;crazyapeextremeequipment.com
;;Create Flooring by Muchsee;Interior Finishings & Home Living;Calhoun;Georgia;S7203;https://www.buildersshow.com/exhibitor/createflooringbymuchsee;;Product;No Website Found;;;;offline_dossier/detailed_reports/create-flooring-by-muchsee/report.md;;;
n;;CrewCam;Business Management & Professional Services;Salt Lake City;Utah;S6034;https://www.buildersshow.com/exhibitor/crewcam;;Service;No Website Found;;;;offline_dossier/detailed_reports/crewcam/report.md;;;
n;;Crossborder Sourcleink Corporation;Construction Tools, Systems, Equipment, & Safety;Eau Claire;United States Of America;S10181;https://www.buildersshow.com/exhibitor/suretorqinc;;Product;No Website Found;;;;offline_dossier/detailed_reports/crossborder-sourcleink-corporation/report.md;;;
n;;CTM (formerly CallTrackingMetrics);Business Management & Professional Services;Millersville;Maryland;S5031;https://www.buildersshow.com/exhibitor/calltrackingmetrics;CallTrackingMetrics (CTM) is a global conversation analytics leader, trusted by over 100,000 users worldwide, including top brands like The Washington Post, Morgan and Morgan, Terminix, and ServiceMaster. The platform empowers businesses to track and attribute online and offline leads, facilitating data-driven decision-making and bolstering ROI. With seamless integrations with industry titans such as Google Ads, HubSpot, Salesforce, and Facebook, CTM consistently earns acclaim from software authorities like Gartner, Software Reviews, and G2. Renowned for its growth and innovation, CTM equips marketers with AI-powered tools—including features like AskAI and VoiceAI—to deliver smarter insights, streamline lead management, and elevate customer engagement.;Service;No Website Found;;;;offline_dossier/detailed_reports/ctm-formerly-calltrackingmetrics/report.md;AskAI, VoiceAI;conversation analytics, lead tracking, online and offline lead attribution, data-driven decision-making, seamless integrations, AI-powered insights, lead management, customer engagement enhancement;calltrackingmetrics.com
;;Cuckoo America;Interior Finishings & Home Living;Cerritos;California;S14156;https://www.buildersshow.com/exhibitor/cuckooamerica;;Product;No Website Found;;;;offline_dossier/detailed_reports/cuckoo-america/report.md;;;
n;;Cuhadaroglu Metal San. Ve Paz. A.S;Building Materials;Istanbul, Istanbul;Turkey;W3671;https://www.buildersshow.com/exhibitor/cuhadaroglumetalsanvepazas;"Cuhadaroglu is a leading aluminium extrusion and aluminium system house company, which was founded in 1954. With its experience of 68 years, Cuhadaroglu has an integrated facility with casting line, extrusion lines, extrusion die shop, surface treatment facility, mechanical processes and assembly lines in 90.000 m2 production area in Istanbul. The first and unique R&D and Design Center, consists of engineers and architects who are experts in their fields and have a command of every stage of the design, test and application processes, had enabled many innovations to be implemented and still continue to develop new systems and products. Cuhadaroglu company supplies aluminium architectural systems such as doors & windows, facade and sliding systems under the brand interal and also aluminium industrial profiles to many European countries for various industries such as building & construction, automotive, hydraulic cylinders, hydraulic pumps & gears, pneumatic cylinders, Truck & Trailer bodies, navigation, aviation, transportation, machinery & equipment, electric- electronic, heating and ventilation, consumer - durable goods, domestic & office appliances, furniture, etc. Cuhadaroglu Alüminyum Sanayi, as a group company affiliated to Cuhadaroglu Group, which is one of the leading companies in the Turkish Aluminum sector; providing also turnkey facade contracting services from project process to on-site installations. Cuhadaroglu Alüminyum Sanayi has accomplished a considerable number of prestigious projects in Turkey and abroad, from high-rise to mixed-use buildings and has become the university of the industry with the principles of trust and honesty. Cuhadaroglu Group Companies constructed new brands strategy under ""communication oriented"" with a brand family consisting of interal, interax, interwall, intersecure and interdigi; which will act with development, innovation and branding in CONSTRUCTION business.";Product;No Website Found;;;;offline_dossier/detailed_reports/cuhadaroglu-metal-san-ve-paz-a-s/report.md;aluminium architectural systems, doors & windows, facade systems, sliding systems, aluminium industrial profiles;turnkey facade contracting services, project process to on-site installations;cuhadaroglu.com
;;CUPACLAD;Building Materials;Savannah;Georgia;W5966;https://www.buildersshow.com/exhibitor/cupaclad;CUPACLAD is a natural slate rainscreen cladding system which offers a range of cladding solutions, from traditional to contemporary, offering architects and specifiers a wide choice, suiting any individual design. The use of high durability tectonic slate, innovative fastening, and the efficiency of the rainscreen cladding make CUPACLAD an extremely competitive and sustainable alternative for cladding any facade. The systems have been designed to meet the requirements of the new architectural trends, which demand more sustainable and energy-efficient buildings.;Product;No Website Found;;;;offline_dossier/detailed_reports/cupaclad/report.md;natural slate rainscreen cladding system, high durability tectonic slate;;cupaclad.com
;;Custom Home Accessories;Building Materials;Rancho Cordova;California;W8089;https://www.buildersshow.com/exhibitor/customhomeaccessories;;Product;No Website Found;;;;offline_dossier/detailed_reports/custom-home-accessories/report.md;;;
;;Custom Panels LLC;Building Materials;Tacoma;Washington State;W6388;https://www.buildersshow.com/exhibitor/custompanelsllc;Custom Panels has a long history of making oversized and cut-to- size panels made from stable Western Douglas Fir plywood. We also have the ability to laminate paper overlays to mask the grain for painting, along with cold pressing thicker laminates. Custom edge and face grooving are also in our bag of tricks! For example, we can T&G for edges of a plywood panels, while also custom grooving (think T-111 plywood siding) Some of the products we make: Stair Stringers Exterior Trim Pontoon Boat Decks Bus and Trailer Decks and Sides Arena Panels Oversized 1 pc Wall panels Mezzanine Decks Please discuss with us your possible proprietary needs. Dreams can come true! See you at the show!;Product;No Website Found;;;;offline_dossier/detailed_reports/custom-panels-llc/report.md;Stair Stringers, Exterior Trim, Pontoon Boat Decks, Bus and Trailer Decks and Sides, Arena Panels, Oversized 1 pc Wall panels, Mezzanine Decks;cut-to-size panels, paper overlay lamination, cold pressing thicker laminates, custom edge grooving, face grooving, T&G for edges, custom grooving;custompanels.com
n;;CUTCO Closing Gifts;Business Management & Professional Services;Olean;New York;S24111;https://www.buildersshow.com/exhibitor/cutcoclosinggifts;;Service;No Website Found;;;;offline_dossier/detailed_reports/cutco-closing-gifts/report.md;;;
n;;CUTCO Gifting;Business Management & Professional Services;Olean;New York;S2174;https://www.buildersshow.com/exhibitor/cutcoclosinggifts;;Service;No Website Found;;;;offline_dossier/detailed_reports/cutco-gifting/report.md;;;
;;Daiwa by U.S. Jaclean, Inc.;Interior Finishings & Home Living;Gardena;California;S12103;https://www.buildersshow.com/exhibitor/daiwabyusjacleaninc;U.S. Jaclean, Inc. is one of the leading health and wellness massage chairs distributors in the United States since 1982. Our mission: To improve the health and wellness of Americans through quality products that can be used from the comfort of home.;Product;No Website Found;;;;offline_dossier/detailed_reports/daiwa-by-u-s-jaclean-inc/report.md;massage chairs;health and wellness improvement;daiwabyusjaclean.com
;;Dakeryn Industries Ltd.;Building Materials;North Vancouver;British Columbia, Canada;W6257;https://www.buildersshow.com/exhibitor/dakerynindustriesltd;;Product;;;;;;;;
;;Dalian Beston Industries Co., Ltd.;Building Materials;Dalian, Liaoning;China;W9135;https://www.buildersshow.com/exhibitor/None;We are a professional manufacturer established in 1995, specializing in all kinds of electrical products.Our main products are: strut channel/emt elbow/emt fittings/ground rod/spring steel fittings.;Product;No Website Found;;;;offline_dossier/detailed_reports/dalian-beston-industries-co-ltd/report.md;strut channel, emt elbow, emt fittings, ground rod, spring steel fittings;;dalianbeston.com
n;;Danner;Construction Tools, Systems, Equipment, & Safety;Portland;Oregon;S14178;https://www.buildersshow.com/exhibitor/danner;;Product;No Website Found;;;;offline_dossier/detailed_reports/danner/report.md;;;
;;Danver Outdoor Kitchens;Outdoor Living, Leisure, & Modular Structures;Wallingford;Connecticut;S24015;https://www.buildersshow.com/exhibitor/danveroutdoorkitchens;;Product;No Website Found;;;;offline_dossier/detailed_reports/danver-outdoor-kitchens/report.md;;;
;;dassoXTR;Outdoor Living, Leisure, & Modular Structures;Atlanta;Georgia;S6141;https://www.buildersshow.com/exhibitor/dassoxtr;;Product;No Website Found;;;;offline_dossier/detailed_reports/dassoxtr/report.md;;;
;;Deako;Interior Finishings & Home Living;Seattle;Washington State;S8071;https://www.buildersshow.com/exhibitor/deako;Deako delivers whole-home smart lighting control that builders can actually scale. It's made for builders of every size and build type—from spec homes to semi-custom and fully custom builds. The system installs like a standard switch, with no rewiring, no re-training the crew, and no impact to build schedules, while giving buyers the smart lighting features they increasingly expect. Builders choose Deako to elevate the buyer experience, differentiate their homes, and create new upgrade opportunities without adding operational complexity. With clean, design-forward switches and future-ready modularity, Deako makes it easy to offer smart lighting today—and effortless for homeowners to upgrade tomorrow. If you’re looking for a smarter, more scalable way to bring modern smart lighting control into your homes, Deako is worth a conversation.;Product;No Website Found;;;;offline_dossier/detailed_reports/deako/report.md;whole-home smart lighting control, design-forward switches;smart lighting installation, buyer experience elevation, homes differentiation, upgrade opportunities creation;deako.com
;;Decision (Ningbo) Sanitary Co., Ltd.;Building Materials;Ningbo, Zhejiang;China;W6577;https://www.buildersshow.com/exhibitor/decisionningbosanitarycoltd;Moonsignal mfgs. Association unites moon signal (Taiwan, Est. 1979) and decision (Ningbo, Est. 2012) as a specialist maker of faucets and brass plumbing parts. We offer oem/odm for kitchen and bathroom faucets, showers, valves, and fittings. combining Taiwan engineering with China cost efficiency to deliver reliable quality, flexible customization, and on-time global supply.;Product;No Website Found;;;;offline_dossier/detailed_reports/decision-ningbo-sanitary-co-ltd/report.md;kitchen faucets, bathroom faucets, showers, valves, fittings;OEM, ODM;decisionningbosanitary.com
;;Deckorators;Outdoor Living, Leisure, & Modular Structures;Grand Rapids;Michigan;W2573;https://www.buildersshow.com/exhibitor/deckorators;Deckorators® takes the enjoyment of personalizing a deck to a whole new level. Our exclusive Surestone™ Technology and design-led ingenuity provide enduring value you can see, feel, and trust with our industry-leading warranties. With a commitment to guide design innovation, Deckorators® brings more than just materials - we deliver an experience. Discover the newest on-trend and cutting-edge products that are sure to push the limits of outdoor living possibilities.;Product;No Website Found;;;;offline_dossier/detailed_reports/deckorators/report.md;Surestone™ Technology;design innovation, experience delivery;deckorators.com
;;Decks and Docks;Outdoor Living, Leisure, & Modular Structures;Clearwater;Florida;S1147;https://www.buildersshow.com/exhibitor/decksanddocks;;Product;No Website Found;;;;offline_dossier/detailed_reports/decks-and-docks/report.md;;;
n;;DECOPLAS KOMPOZIT SAN. VE TIC. A.S.;Interior Finishings & Home Living;;Turkey;S5185;https://decoplas.com.tr;;Product;No Website Found;;;;offline_dossier/detailed_reports/decoplas-kompozit-san-ve-tic-a-s/report.md;;;
;;Decorative Ceiling Tiles, Inc.;Interior Finishings & Home Living;Margate;Florida;S9109;https://www.buildersshow.com/exhibitor/decorativeceilingtilesinc;Decorative Ceiling Tiles, Inc. Decorative Ceiling Tiles, Inc. is a leading supplier of innovative ceiling and wall décor solutions for residential and commercial projects. From classic tin tiles and modern 3D wall panels to faux wood beams, backlit walls, and architectural moldings, our extensive product line helps designers, builders, and homeowners create spaces that stand out. Explore Our Product Lines: ✅ Tin Ceiling Tiles– classic and durable, perfect for historic restoration and upscale design ✅ Faux Wood Beams– lightweight, realistic, and easy to install ✅ 3D Wall Panels– modern designs to create feature walls with impact ✅ Backlit Walls & Illuminated Panels– dramatic lighting solutions for hospitality and retail ✅ Foam Crown Molding– elegant, lightweight, and in stock for pickup in Florida ✅ Backsplashes– easy-to-install designs for kitchens and bathrooms ✅ Metal Laminates– versatile surfaces for walls, furniture, and displays ✅ Door Skins– instantly upgrade plain doors with decorative overlays Why Choose Us: Thousands of styles in stock for fast shipping Affordable pricing with exceptional customer service Custom fabrication available for unique design visions Trusted by architects, contractors, designers, and DIY customers nationwide;Product;No Website Found;;;;offline_dossier/detailed_reports/decorative-ceiling-tiles-inc/report.md;Tin Ceiling Tiles, Faux Wood Beams, 3D Wall Panels, Backlit Walls & Illuminated Panels, Foam Crown Molding, Backsplashes, Metal Laminates, Door Skins;fast shipping, custom fabrication;decorativeceilingtiles.com
;;Decorator Hardware Services/Jastener Int;Building Materials;Murrieta;California;W5446;https://www.buildersshow.com/exhibitor/decoratorhardwareservices;;Product;No Website Found;;;;offline_dossier/detailed_reports/decorator-hardware-services-jastener-int/report.md;;;
n;;DEFE Flood Barriers;Construction Tools, Systems, Equipment, & Safety;Rathnew, Wicklow;Ireland;W7563;https://www.buildersshow.com/exhibitor/ishkaimportandexportlimitedtad;DEFE Flood Barriers is an Irish company based in Wicklow, dedicated to providing heavy-duty, compact, and durable flood protection solutions since 2018. Our barriers are specifically engineered to prevent water and flood damage for a wide range of premises, including residential doors and windows, underground entrances, car parks, schools, and public service amenities. We specialize in customized, made-to-measure flood barriers, tailored to the unique needs of homes, businesses, and communities in flood-risk areas. Our products are rigorously tested to comply with the PAS 1188 standard, ensuring safety, durability, and affordability for our clients. With flooding becoming an increasing concern in around world, DEFE Flood Barriers offers a reliable and cost-effective solution to protect properties. We take pride in delivering high-quality products directly to our customers, helping them live safely near water without fear of flood damage.;Product;No Website Found;;;;offline_dossier/detailed_reports/defe-flood-barriers/report.md;heavy-duty flood protection solutions, compact flood protection solutions, durable flood protection solutions, made-to-measure flood barriers;customized flood barrier design, direct product delivery;defefloodbarriers.com
;;Delaney Hardware;Building Materials;Sugar Hill;Georgia;W4582;https://www.buildersshow.com/exhibitor/delaneyhardware;;Product;No Website Found;;;;offline_dossier/detailed_reports/delaney-hardware/report.md;;;
n;;Dell Technologies;Business Management & Professional Services;Round Rock;Texas;S1031;https://www.buildersshow.com/exhibitor/delltechnologies;;Service;No Website Found;;;;offline_dossier/detailed_reports/dell-technologies/report.md;;;
;;DelPro 1638™;Building Materials;Fort Macleod;Alberta, Canada;W7673;https://www.buildersshow.com/exhibitor/delpro1638;Transform your space with durable, stylish PVC wall and ceiling panels available throughout Canada and the United States. As leading PVC panel suppliers, DelPro offers innovative products like DelPro 1238™ and DelPro 1638™. Our commercial wall panels deliver a sleek, low-maintenance finish that’s built for performance in high-moisture, hygiene-critical environments.;Product;No Website Found;;;;offline_dossier/detailed_reports/delpro-1638/report.md;DelPro 1238™, DelPro 1638™;;delpro1638.com
;;DELTA ALUMINUM (THAILAND) CO., LTD.;Outdoor Living, Leisure, & Modular Structures;;Thailand;S2175;https://www.buildersshow.com/exhibitor/deltaaluminumthailandcoltd;Delta Aluminum is a leading manufacturer specializing in fencing, railing, and outdoor living solutions, with production facilities located in Thailand and Vietnam. Our product portfolio covers a wide range of materials and applications, including: Aluminum Fencing & Railing PVC Fencing & Railing WPC Fence Pergolas With decades of expertise in extrusion, fabrication, and surface finishing, we deliver high-quality, customizable, and competitively priced products to partners across North America;Product;No Website Found;;;;offline_dossier/detailed_reports/delta-aluminum-thailand-co-ltd/report.md;Aluminum Fencing & Railing, PVC Fencing & Railing, WPC Fence, Pergolas;extrusion, fabrication, surface finishing;deltaaluminum.co.th
;;Delta Electronics (Americas), Ltd.;Interior Finishings & Home Living;Fremont;California;S10089;https://www.buildersshow.com/exhibitor/deltaelectronicsamericasltd;Delta Breez Ventilation Fans are reliable, quiet, and energy-efficient. Delta Electronics (Americas) Ltd. was the first to market with an all-DC motor ventilation fan solution, delivering greater efficiency, enhanced reliability, lower power consumption, and reduced noise. Discover our most innovative ventilation products, including BreezFresh and ventilation fans, designed to provide comprehensive indoor air quality solutions for engineers, builders, remodelers, and homeowners. Visit us at booth #S10089 to experience peace of mind, exceptional quality, and high performance from the quiet leader in fan technology.;Product;No Website Found;;;;offline_dossier/detailed_reports/delta-electronics-americas-ltd/report.md;Delta Breez Ventilation Fans, BreezFresh, ventilation fans;;delta-americas.com
;;Demexgrout LLC;Interior Finishings & Home Living;Boulder;Colorado;S10001;https://www.buildersshow.com/exhibitor/demexgroutllc;Epoxy grout in cartridge makes it easier to install.;Product;No Website Found;;;;offline_dossier/detailed_reports/demexgrout-llc/report.md;Epoxy grout in cartridge;;demexgrout.com
;;Dero Bike Racks;Outdoor Living, Leisure, & Modular Structures;Crystal;Minnesota;S1185;https://www.buildersshow.com/exhibitor/derobikeracks;Dero creates innovative, high-quality bike parking and infrastructure solutions for builders, architects, and communities. From functional bike racks and shelters to creative repair stations and public art, Dero helps design spaces that support sustainable transportation and enhance the built environment. Our team provides complimentary design assistance and layout guidance to ensure every project meets both aesthetic and functional goals. With durable products and a commitment to exceptional service, Dero is a trusted partner in building bike-friendly spaces that move people forward.;Product;No Website Found;;;;offline_dossier/detailed_reports/dero-bike-racks/report.md;bike racks, shelters, repair stations, public art;design assistance, layout guidance;derobikeracks.com
