location_id,city,region,country
l_aldersyde-alberta-canada,Aldersyde,Alberta,Canada
l_long-beach-california-usa,Long Beach,California,USA
l_shanghai-shanghai-china,"Shanghai, Shanghai",,China
l_rosemont-illinois-usa,Rosemont,Illinois,USA
l_titusville-florida-usa,TITUSVILLE,Florida,USA
l_dallas-texas-usa,Dallas,Texas,USA
l_arlington-heights-illinois-usa,ARLINGTON HEIGHTS,Illinois,USA
l_brea-california-usa,Brea,California,USA
l_ottawa-ontario-canada,Ottawa,Ontario,Canada
l_logan-utah-usa,Logan,Utah,USA
l_waterloo-ontario-canada,Waterloo,Ontario,Canada
l_alton-illinois-usa,Alton,Illinois,USA
l_harrisburg-pennsylvania-usa,Harrisburg,Pennsylvania,USA
l_seabrook-new-hampshire-usa,Seabrook,New Hampshire,USA
l_conover-north-carolina-usa,Conover,North Carolina,USA
l_lewes-delaware-usa,Lewes,Delaware,USA
l_sacramento-california-usa,Sacramento,California,USA
l_mitchell-south-dakota-usa,Mitchell,South Dakota,USA
l_kingston-ontario-canada,Kingston,Ontario,Canada
l_livingston-new-jersey-usa,Livingston,New Jersey,USA
l_orange-california-usa,Orange,California,USA
l_arlington-heights-illinois-usa,Arlington Heights,Illinois,USA
l_huzhou-zhejiang-china,"Huzhou , Zhejiang",,China
l_mountain-view-california-usa,Mountain View,California,USA
l_suwanee-georgia-usa,Suwanee,Georgia,USA
l_shenzhen-city-guangdong-china,"Shenzhen City, Guangdong",,China
l_moreno-valley-california-usa,Moreno Valley,California,USA
l_east-peoria-illinois-usa,East Peoria,Illinois,USA
l_katy-texas-usa,Katy,Texas,USA
l_glenview-illinois-usa,Glenview,Illinois,USA
l_kowloon-bay-kl-hong-kong-china,"Kowloon Bay KL, Hong Kong",,China
l_adelaide-south-australia-australia,"Adelaide, South Australia",,Australia
l_chicopee-massachusetts-usa,Chicopee,Massachusetts,USA
l_tokyo-tokyo-japan,"Tokyo, Tokyo",,Japan
l_jiangmen-guangdong-china,"Jiangmen, Guangdong",,China
l_taizhou-jiangsu-china,"Taizhou, Jiangsu",,China
l_zhangjiagang-jiangsu-china,"Zhangjiagang, Jiangsu",,China
l_suqian-jiangsu-china,"Suqian, Jiangsu",,China
l_yancheng-jiangsu-china,"Yancheng, Jiangsu",,China
l_jiujiang-jiangxi-china,"Jiujiang, Jiangxi",,China
l_jinhua-zhejiang-china,"Jinhua, Zhejiang",,China
l_elkhart-indiana-usa,Elkhart,Indiana,USA
l_moody-alabama-usa,Moody,Alabama,USA
l_sunrise-florida-usa,Sunrise,Florida,USA
l_archdale-north-carolina-usa,Archdale,North Carolina,USA
l_shangrao-jiangxi-china,"Shangrao, Jiangxi",,China
l_kaiping-guangdong-china,"Kaiping, Guangdong",,China
l_orange-city-florida-usa,Orange City,Florida,USA
l_prescott-wisconsin-usa,Prescott,Wisconsin,USA
l_sonthofen-bayern-germany,"Sonthofen, Bayern",,Germany
l_hoffman-estates-illinois-usa,Hoffman Estates,Illinois,USA
l_scranton-pennsylvania-usa,Scranton,Pennsylvania,USA
l_chino-california-usa,Chino,California,USA
l_pittsburgh-pennsylvania-usa,Pittsburgh,Pennsylvania,USA
l_mebane-north-carolina-usa,Mebane,North Carolina,USA
l_belmont-north-carolina-usa,Belmont,North Carolina,USA
l_wuyi-zhejiang-china,"Wuyi, Zhejiang",,China
l_chantilly-virginia-usa,Chantilly,Virginia,USA
l_nan-mexico,,,Mexico
l_clyde-hill-washington-state-usa,Clyde Hill,Washington State,USA
l_seo-gu-incheon-korea,"Seo-gu, Incheon",,Korea
l_deerfield-beach-florida-usa,Deerfield Beach,Florida,USA
l_lakefield-minnesota-usa,Lakefield,Minnesota,USA
l_the-woodlands-texas-usa,The Woodlands ,Texas,USA
l_clarksville-tennessee-usa,Clarksville,Tennessee,USA
l_namegata-ibaraki-japan,"Namegata, Ibaraki",,Japan
l_east-dundee-illinois-usa,East Dundee,Illinois,USA
l_nan-italy,,,Italy
l_bozeman-montana-usa,Bozeman,Montana,USA
l_metairie-louisiana-usa,Metairie,Louisiana,USA
l_latham-new-york-usa,Latham,New York,USA
l_penticton-british-columbia-canada,Penticton ,British Columbia,Canada
l_fort-meyers-florida-usa,Fort Meyers,Florida,USA
l_auburn-hills-michigan-usa,Auburn Hills,Michigan,USA
l_west-hartford-connecticut-usa,West Hartford,Connecticut,USA
l_richardson-texas-usa,Richardson,Texas,USA
l_quebec-canada,Quebec,,Canada
l_mattoon-illinois-usa,Mattoon,Illinois,USA
l_greenville-south-carolina-usa,Greenville,South Carolina,USA
l_merrill-wisconsin-usa,Merrill,Wisconsin,USA
l_mcallen-texas-usa,Mcallen,Texas,USA
l_paramount-california-usa,Paramount,California,USA
l_duluth-minnesota-usa,Duluth,Minnesota,USA
l_san-antonio-texas-united-states-of-america-usa,san antonio texas,United States Of America,USA
l_south-sioux-city-nebraska-usa,South Sioux City,Nebraska,USA
l_alcover-tarragona-spain,"Alcover, Tarragona",,Spain
l_lake-oswego-oregon-usa,Lake Oswego,Oregon,USA
l_mooresville-north-carolina-usa,Mooresville,North Carolina,USA
l_pasadena-california-usa,Pasadena,California,USA
l_mableton-georgia-usa,Mableton,Georgia,USA
l_kingston-new-york-usa,Kingston,New York,USA
l_pompano-beach-florida-usa,Pompano Beach,Florida,USA
l_mesquite-texas-usa,Mesquite,Texas,USA
l_antioch-tennessee-usa,Antioch,Tennessee,USA
l_st-catharines-ontario-canada,St. Catharines,Ontario,Canada
l_lynden-washington-state-usa,Lynden,Washington State,USA
l_nurnberg-bayern-germany,"Nurnberg, Bayern",,Germany
l_wheeling-west-virginia-usa,Wheeling,West Virginia,USA
l_arlington-washington-state-usa,Arlington,Washington State,USA
l_toccoa-georgia-usa,Toccoa,Georgia,USA
l_philadelphia-pennsylvania-usa,Philadelphia,Pennsylvania,USA
l_hammonds-plains-nova-scotia-canada,Hammonds Plains,Nova Scotia,Canada
l_nan-israel,,,Israel
l_santiago-santiago-metropolitan-region-chile,"Santiago, Santiago Metropolitan Region",,Chile
l_riverside-california-usa,Riverside,California,USA
l_casselberry-florida-usa,Casselberry,Florida,USA
l_wuxi-jiangsu-china,"Wuxi, Jiangsu",,China
l_woodbridge-ontario-canada,Woodbridge,Ontario,Canada
l_sarszentmihaly-fej-r-hungary,"Sarszentmihaly, Fejér",,Hungary
l_ho-chi-minh-ho-chi-minh-vietnam,"Ho Chi Minh, Ho Chi Minh",,Vietnam
l_concord-north-carolina-usa,Concord,North Carolina,USA
l_westerville-ohio-usa,Westerville,Ohio,USA
l_thurcroft-rotherham-united-kingdom,"Thurcroft, Rotherham",,United Kingdom
l_st-petersburg-florida-usa,St. Petersburg,Florida,USA
l_nan-japan,,,Japan
l_west-columbia-south-carolina-usa,West Columbia,South Carolina,USA
l_bettendorf-iowa-usa,Bettendorf,Iowa,USA
l_mira-loma-california-usa,Mira Loma,California,USA
l_farmingdale-new-york-usa,Farmingdale,New York,USA
l_hiawatha-iowa-usa,Hiawatha,Iowa,USA
l_waukesha-wisconsin-usa,Waukesha,Wisconsin,USA
l_laval-canada,Laval,,Canada
l_nan-austria,,,Austria
l_neuberg-bayern-germany,"Neuberg, Bayern",,Germany
l_montclair-california-usa,Montclair,California,USA
l_boones-mill-virginia-usa,Boones Mill,Virginia,USA
l_torrance-california-usa,Torrance,California,USA
l_coshocton-ohio-usa,Coshocton,Ohio,USA
l_santa-rosa-california-usa,Santa Rosa,California,USA
l_new-canaan-connecticut-usa,New Canaan,Connecticut,USA
l_frederick-colorado-usa,Frederick,Colorado,USA
l_chesterfield-missouri-usa,Chesterfield,Missouri,USA
l_warwick-warwickshire-united-kingdom,"Warwick, Warwickshire",,United Kingdom
l_manhattan-beach-california-usa,MANHATTAN BEACH,California,USA
l_cocoa-florida-usa,Cocoa,Florida,USA
l_lakewood-new-jersey-usa,Lakewood,New Jersey,USA
l_brockton-massachusetts-usa,Brockton,Massachusetts,USA
l_island-park-idaho-usa,Island Park,Idaho,USA
l_belleville-illinois-usa,Belleville,Illinois,USA
l_norfolk-nebraska-usa,Norfolk,Nebraska,USA
l_hickory-kentucky-usa,Hickory,Kentucky,USA
l_orchard-park-new-york-usa,Orchard Park,New York,USA
l_buenos-aires-capital-federal-argentina,"Buenos Aires, Capital Federal",,Argentina
l_colleyville-texas-usa,Colleyville,Texas,USA
l_north-charleston-south-carolina-usa,North Charleston,South Carolina,USA
l_rancho-santa-margarita-california-usa,Rancho Santa Margarita,California,USA
l_westborough-massachusetts-usa,Westborough,Massachusetts,USA
l_chatsworth-united-states-of-america-usa,Chatsworth,United States Of America,USA
l_honolulu-hawaii-usa,Honolulu,Hawaii,USA
l_boise-california-usa,Boise,California,USA
l_levis-ontario-canada,Levis,Ontario,Canada
l_osaka-city-osaka-japan,"Osaka city, Osaka",,Japan
l_nanchang-jiangxi-china,"Nanchang, Jiangxi",,China
l_nanjing-jiangsu-china,"Nanjing, Jiangsu",,China
l_nantong-jiangsu-china,"Nantong, Jiangsu",,China
l_barrie-ontario-canada,Barrie,Ontario,Canada
l_mission-hills-california-usa,Mission Hills,California,USA
l_linthicum-heights-maryland-usa,Linthicum Heights,Maryland,USA
l_dayton-ohio-usa,Dayton,Ohio,USA
l_hudson-ohio-usa,Hudson,Ohio,USA
l_new-albany-ohio-usa,New Albany,Ohio,USA
l_pensacola-florida-usa,Pensacola,Florida,USA
l_dong-xoai-dong-nai-vietnam,"Dong Xoai, Dong Nai",,Vietnam
l_alpahretta-georgia-usa,Alpahretta,Georgia,USA
l_olive-branch-mississippi-usa,Olive Branch,Mississippi,USA
l_westfield-indiana-usa,Westfield,Indiana,USA
l_johns-creek-georgia-usa,Johns Creek,Georgia,USA
l_yuyao-zhejiang-china,"YUYAO, Zhejiang",,China
l_rockford-tennessee-usa,Rockford,Tennessee,USA
l_fairfield-new-jersey-usa,Fairfield,New Jersey,USA
l_greer-south-carolina-usa,Greer,South Carolina,USA
l_vanceburg-kentucky-usa,VANCEBURG,Kentucky,USA
l_moncton-new-brunswick-canada,Moncton,New Brunswick,Canada
l_brossard-canada,Brossard,,Canada
l_ridgeway-virginia-usa,Ridgeway,Virginia,USA
l_castro-valley-california-usa,Castro Valley,California,USA
l_nikhompattana-district-rayong-thailand,"Nikhompattana District, Rayong",,Thailand
l_mullins-south-carolina-usa,Mullins,South Carolina,USA
l_clearfield-utah-usa,Clearfield,Utah,USA
l_syracuse-indiana-usa,Syracuse,Indiana,USA
l_jenison-michigan-usa,Jenison,Michigan,USA
l_green-lake-wisconsin-usa,Green Lake,Wisconsin,USA
l_fort-collins-colorado-usa,Fort Collins,Colorado,USA
l_rohnert-park-california-usa,Rohnert Park,California,USA
l_dalseo-gu-daegu-korea,"Dalseo-gu, Daegu",,Korea
l_american-fork-utah-usa,American Fork,Utah,USA
l_exton-pennsylvania-usa,Exton,Pennsylvania,USA
l_doraville-georgia-usa,Doraville,Georgia,USA
l_lecco-lecco-italy,"Lecco, Lecco",,Italy
l_madison-wisconsin-usa,Madison,Wisconsin,USA
l_nan-bahamas,,,Bahamas
l_red-wing-minnesota-usa,Red Wing,Minnesota,USA
l_new-braunfels-texas-usa,New Braunfels,Texas,USA
l_oradea-bihor-romania,"Oradea, Bihor",,Romania
l_ellenville-new-york-usa,Ellenville,New York,USA
l_sutherlin-oregon-usa,Sutherlin,Oregon,USA
l_st-monique-canada,St-Monique,,Canada
l_doylestown-pennsylvania-usa,Doylestown,Pennsylvania,USA
l_lincoln-new-mexico-usa,Lincoln,New Mexico,USA
l_bogota-new-jersey-usa,Bogota,New Jersey,USA
l_mobile-alabama-usa,Mobile,Alabama,USA
l_ft-myers-florida-usa,Ft. Myers,Florida,USA
l_kutztown-pennsylvania-usa,Kutztown,Pennsylvania,USA
l_bourgbarre-ille-et-vilaine-france,"BOURGBARRE, Ille-et-Vilaine",,France
l_newark-new-jersey-usa,Newark,New Jersey,USA
l_north-las-vegas-nevada-usa,North Las Vegas,Nevada,USA
l_chattanooga-tennessee-usa,Chattanooga,Tennessee,USA
l_englewood-new-jersey-usa,Englewood,New Jersey,USA
l_alhambra-california-usa,Alhambra,California,USA
l_rochester-hills-michigan-usa,Rochester Hills,Michigan,USA
l_south-jordan-utah-usa,South Jordan,Utah,USA
l_collierville-tennessee-usa,Collierville,Tennessee,USA
l_stonewall-manitoba-canada,Stonewall,Manitoba,Canada
l_golden-valley-minnesota-usa,Golden Valley,Minnesota,USA
l_arroyo-grande-california-usa,Arroyo Grande,California,USA
l_panabo-city-davao-del-norte-philippines,"Panabo city, Davao del Norte",,Philippines
l_tay-ninh-tay-ninh-vietnam,"TAY NINH, Tay Ninh",,Vietnam
l_sugar-land-texas-usa,Sugar Land,Texas,USA
l_harbor-city-california-usa,Harbor City,California,USA
l_08184-palau-solit-i-plegamans-barcelona-spain,"08184 Palau-solità i Plegamans, Barcelona",,Spain
l_grants-pass-oregon-usa,Grants Pass,Oregon,USA
l_lewisville-texas-usa,Lewisville,Texas,USA
l_palatka-florida-usa,Palatka,Florida,USA
l_clearwater-new-york-usa,Clearwater,New York,USA
l_maumee-ohio-usa,Maumee,Ohio,USA
l_forest-grove-oregon-usa,FOREST GROVE,Oregon,USA
l_shakopee-minnesota-usa,Shakopee,Minnesota,USA
l_surrey-canada,Surrey,,Canada
l_groveland-florida-usa,Groveland,Florida,USA
l_bensalem-pennsylvania-usa,Bensalem,Pennsylvania,USA
l_hot-springs-arkansas-usa,Hot Springs,Arkansas,USA
l_willmar-minnesota-usa,Willmar,Minnesota,USA
l_white-city-oregon-usa,White City,Oregon,USA
l_haines-city-florida-usa,Haines City,Florida,USA
l_wichita-kansas-usa,Wichita,Kansas,USA
l_kocaeli-kocaeli-turkey,"Kocaeli, Kocaeli",,Turkey
l_maryville-tennessee-usa,Maryville,Tennessee,USA
l_richmond-virginia-usa,Richmond,Virginia,USA
l_lawrence-kansas-usa,Lawrence,Kansas,USA
l_wauconda-illinois-usa,Wauconda,Illinois,USA
l_rancho-cucamonga-california-usa,Rancho Cucamonga,California,USA
l_langfang-hebei-china,"Langfang, Hebei",,China
l_burlington-washington-state-usa,Burlington,Washington State,USA
l_shawinigan-canada,Shawinigan,,Canada
l_qingdao-shandong-china,"Qingdao, Shandong",,China
l_qingyuan-guangdong-china,"Qingyuan, Guangdong",,China
l_freeburg-missouri-usa,Freeburg,Missouri,USA
l_camp-hill-pennsylvania-usa,Camp Hill,Pennsylvania,USA
l_quanzhou-fujian-china,"Quanzhou, Fujian",,China
l_vernon-california-usa,Vernon,California,USA
l_quebec-city-canada,Quebec City,,Canada
l_mineral-wells-texas-usa,Mineral Wells,Texas,USA
l_quzhou-zhejiang-china,"Quzhou, Zhejiang",,China
l_greenwich-connecticut-usa,Greenwich,Connecticut,USA
l_bradford-ontario-canada,Bradford,Ontario,Canada
l_ward-hill-massachusetts-usa,Ward Hill,Massachusetts,USA
l_morrisville-north-carolina-usa,Morrisville,North Carolina,USA
l_hillsboro-texas-usa,Hillsboro ,Texas,USA
l_winfield-west-virginia-usa,Winfield,West Virginia,USA
l_west-plains-missouri-usa,West Plains,Missouri,USA
l_kent-washington-state-usa,Kent,Washington State,USA
l_kansas-city-missouri-usa,Kansas City,Missouri,USA
l_st-jerome-canada,St Jerome,,Canada
l_ramsey-new-jersey-usa,Ramsey,New Jersey,USA
l_ellicott-city-maryland-usa,Ellicott City,Maryland,USA
l_waunakee-wisconsin-usa,Waunakee,Wisconsin,USA
l_bonham-texas-usa,Bonham,Texas,USA
l_carrollton-texas-usa,Carrollton,Texas,USA
l_tallahassee-florida-usa,Tallahassee,Florida,USA
l_west-palm-beach-florida-usa,West Palm Beach,Florida,USA
l_everson-washington-state-usa,Everson,Washington State,USA
l_wilburgstetten-bayern-germany,"Wilburgstetten, Bayern",,Germany
l_gig-harbor-washington-state-usa,Gig Harbor,Washington State,USA
l_ko-chan-district-chonburi-thailand,"Ko Chan District, Chonburi",,Thailand
l_etobicoke-ontario-canada,ETOBICOKE,Ontario,Canada
l_fort-smith-arkansas-usa,Fort Smith,Arkansas,USA
l_glendale-hights-illinois-usa,Glendale Hights,Illinois,USA
l_burr-oak-michigan-usa,Burr Oak,Michigan,USA
l_tigard-oregon-usa,Tigard ,Oregon,USA
l_hawthorne-california-usa,Hawthorne,California,USA
l_nan-connecticut-usa,,Connecticut,USA
l_blissfield-michigan-usa,Blissfield,Michigan,USA
l_springville-utah-usa,Springville,Utah,USA
l_milton-ontario-canada,Milton,Ontario,Canada
l_canoga-park-california-usa,Canoga Park,California,USA
l_salete-santa-catarina-brazil,"Salete, Santa Catarina",,Brazil
l_hauppauge-new-york-usa,Hauppauge,New York,USA
l_imperial-saskatchewan-canada,Imperial,Saskatchewan,Canada
l_huntersville-north-carolina-usa,Huntersville,North Carolina,USA
l_spicewood-texas-usa,Spicewood,Texas,USA
l_cumming-georgia-usa,Cumming,Georgia,USA
l_heath-texas-usa,Heath,Texas,USA
l_wilmington-north-carolina-usa,Wilmington,North Carolina,USA
l_spartanburg-south-carolina-usa,Spartanburg,South Carolina,USA
l_hillsboro-oregon-usa,Hillsboro,Oregon,USA
l_san-antonio-texas-usa,San Antonio,Texas,USA
l_lakeland-florida-usa,Lakeland,Florida,USA
l_thornton-colorado-usa,Thornton,Colorado,USA
l_archbold-ohio-usa,Archbold,Ohio,USA
l_venda-do-pinheiro-lisboa-portugal,"VENDA DO PINHEIRO, Lisboa",,Portugal
l_hyannis-massachusetts-usa,Hyannis,Massachusetts,USA
l_kennesaw-georgia-usa,Kennesaw,Georgia,USA
l_tualatin-oregon-usa,Tualatin,Oregon,USA
l_carmel-indiana-usa,Carmel,Indiana,USA
l_plattsburgh-new-york-usa,Plattsburgh,New York,USA
l_franklin-tennessee-usa,Franklin,Tennessee,USA
l_colli-al-metauro-pesaro-e-urbino-italy,"Colli al Metauro, Pesaro e Urbino",,Italy
l_broomfield-colorado-usa,Broomfield,Colorado,USA
l_georgetown-south-carolina-usa,Georgetown,South Carolina,USA
l_lemont-illinois-usa,Lemont,Illinois,USA
l_st-paul-minnesota-usa,St. Paul,Minnesota,USA
l_chesterfield-michigan-usa,Chesterfield,Michigan,USA
l_ft-worth-texas-usa,Ft Worth,Texas,USA
l_dezhou-shandong-china,"Dezhou, Shandong",,China
l_weifang-shandong-china,"Weifang, Shandong",,China
l_linyi-shandong-china,"Linyi, Shandong",,China
l_laiwu-shandong-china,"Laiwu, Shandong",,China
l_fengxian-shanghai-china,"Fengxian, Shanghai",,China
l_hayward-california-usa,HAYWARD,California,USA
l_eagle-mt-utah-usa,Eagle Mt,Utah,USA
l_nagahama-city-shiga-japan,"Nagahama City, Shiga",,Japan
l_paju-gyeonggi-do-korea,"Paju, Gyeonggi-do",,Korea
l_warwick-rhode-island-usa,Warwick,Rhode Island,USA
l_macon-georgia-usa,Macon,Georgia,USA
l_hickory-north-carolina-usa,Hickory,North Carolina,USA
l_georgia-usa,    ,Georgia,USA
l_red-bluff-california-usa,Red BLuff,California,USA
l_lyndhurst-new-jersey-usa,LYNDHURST,New Jersey,USA
l_eau-claire-wisconsin-usa,Eau Claire,Wisconsin,USA
l_whitewater-wisconsin-usa,Whitewater,Wisconsin,USA
l_tequesta-florida-usa,Tequesta,Florida,USA
l_pleasanton-california-usa,Pleasanton,California,USA
l_reading-pennsylvania-usa,Reading,Pennsylvania,USA
l_mount-royal-new-jersey-usa,Mount Royal,New Jersey,USA
l_vineyard-utah-usa,Vineyard,Utah,USA
l_pembroke-new-hampshire-usa,Pembroke,New Hampshire,USA
l_leesburg-florida-usa,Leesburg,Florida,USA
l_ville-st-laurent-canada,Ville St-Laurent,,Canada
l_rosenheim-bayern-germany,"Rosenheim, Bayern",,Germany
l_louiseville-canada,Louiseville,,Canada
l_goleta-california-usa,Goleta,California,USA
l_fountain-inn-south-carolina-usa,Fountain Inn,South Carolina,USA
l_huzhou-zhejiang-china,"Huzhou, Zhejiang",,China
l_palo-alto-united-states-of-america-usa,Palo Alto ,United States Of America,USA
l_santa-rosa-beach-florida-usa,Santa Rosa Beach,Florida,USA
l_niverville-manitoba-canada,Niverville,Manitoba,Canada
l_stamford-connecticut-usa,Stamford,Connecticut,USA
l_smackover-arkansas-usa,Smackover,Arkansas,USA
l_roanoke-virginia-usa,Roanoke,Virginia,USA
l_oakland-california-usa,oakland,California,USA
l_edison-new-jersey-usa,Edison,New Jersey,USA
l_arlington-texas-usa,Arlington,Texas,USA
l_san-clemente-california-usa,San Clemente,California,USA
l_chamblee-georgia-usa,Chamblee,Georgia,USA
l_kohler-wisconsin-usa,Kohler,Wisconsin,USA
l_lebanon-tennessee-usa,Lebanon,Tennessee,USA
l_west-hatfield-massachusetts-usa,West Hatfield,Massachusetts,USA
l_milwaukee-wisconsin-usa,Milwaukee,Wisconsin,USA
l_monroe-connecticut-usa,Monroe,Connecticut,USA
l_cookeville-tennessee-usa,Cookeville,Tennessee,USA
l_venice-california-usa,Venice,California,USA
l_albany-oregon-usa,Albany,Oregon,USA
l_dahlonega-georgia-usa,Dahlonega,Georgia,USA
l_redmond-washington-state-usa,Redmond,Washington State,USA
l_webster-new-york-usa,Webster,New York,USA
l_sherwood-oregon-usa,Sherwood,Oregon,USA
l_centennial-colorado-usa,Centennial,Colorado,USA
l_braco-do-norte-santa-catarina-brazil,"Braco do Norte, Santa Catarina",,Brazil
l_el-segundo-california-usa,El Segundo,California,USA
l_leawood-kansas-usa,Leawood,Kansas,USA
l_warrenton-missouri-usa,Warrenton,Missouri,USA
l_monroe-washington-state-usa,Monroe,Washington State,USA
l_pincher-creek-alberta-canada,Pincher Creek,Alberta,Canada
l_carrollton-georgia-usa,Carrollton,Georgia,USA
l_pleasant-hill-missouri-usa,Pleasant Hill,Missouri,USA
l_new-holland-pennsylvania-usa,New Holland,Pennsylvania,USA
l_chaska-minnesota-usa,Chaska,Minnesota,USA
l_thomasville-georgia-usa,Thomasville,Georgia,USA
l_cranston-rhode-island-usa,Cranston,Rhode Island,USA
l_decorah-iowa-usa,Decorah,Iowa,USA
l_ban-bueng-chonburi-thailand,"Ban Bueng, Chonburi",,Thailand
l_zaozhuang-shandong-china,"Zaozhuang, Shandong",,China
l_yuhuan-zhejiang-china,"Yuhuan, Zhejiang",,China
l_salmon-arm-british-columbia-canada,Salmon Arm,British Columbia,Canada
l_stafford-texas-usa,Stafford,Texas,USA
l_saint-augustin-de-desmaures-canada,Saint-Augustin-de-Desmaures,,Canada
l_oxford-north-carolina-usa,Oxford,North Carolina,USA
l_paterna-valencia-spain,"Paterna, Valencia",,Spain
l_timonium-maryland-usa,Timonium,Maryland,USA
l_bois-des-filion-canada,BOIS DES FILION,,Canada
l_clinton-twp-michigan-usa,Clinton Twp,Michigan,USA
l_virginia-beach-virginia-usa,Virginia Beach,Virginia,USA
l_rouses-point-new-york-usa,Rouses Point,New York,USA
l_canton-ohio-usa,Canton,Ohio,USA
l_batavia-new-york-usa,Batavia,New York,USA
l_columbus-georgia-usa,Columbus,Georgia,USA
l_fredericksburg-virginia-usa,Fredericksburg,Virginia,USA
l_tangshan-hebei-china,"Tangshan, Hebei",,China
l_tianjin-tianjin-china,"TIANJIN, Tianjin",,China
l_danbury-connecticut-usa,Danbury,Connecticut,USA
l_battle-creek-michigan-usa,Battle Creek,Michigan,USA
l_north-fort-myers-florida-usa,North Fort Myers,Florida,USA
l_terrebonne-canada,Terrebonne,,Canada
l_largo-florida-usa,Largo,Florida,USA
l_nan-portugal,,,Portugal
l_deal-new-jersey-usa,Deal,New Jersey,USA
l_white-bear-lake-minnesota-usa,White Bear Lake,Minnesota,USA
l_burlingame-california-usa,Burlingame,California,USA
l_vernon-british-columbia-canada,Vernon,British Columbia,Canada
l_sriracha-chonburi-thailand,"Sriracha, Chonburi",,Thailand
l_bethel-connecticut-usa,Bethel,Connecticut,USA
l_beachwood-ohio-usa,Beachwood,Ohio,USA
l_the-villages-florida-usa,The Villages,Florida,USA
l_dublin-california-usa,Dublin,California,USA
l_mukwonago-wisconsin-usa,Mukwonago,Wisconsin,USA
l_bracebridge-ontario-canada,Bracebridge,Ontario,Canada
l_chalfont-pennsylvania-usa,Chalfont,Pennsylvania,USA
l_palmerston-ontario-canada,Palmerston,Ontario,Canada
l_minneapolis-minnesota-usa,Minneapolis,Minnesota,USA
l_sandy-utah-usa,Sandy,Utah,USA
l_parsippany-new-jersey-usa,Parsippany,New Jersey,USA
l_buffalo-new-york-usa,Buffalo,New York,USA
l_thunder-bay-ontario-canada,Thunder Bay,Ontario,Canada
l_stockton-california-usa,Stockton,California,USA
l_eagan-minnesota-usa,Eagan,Minnesota,USA
l_ankara-ankara-turkey,"ANKARA, Ankara",,Turkey
l_lombard-illinois-usa,Lombard,Illinois,USA
l_bowling-green-kentucky-usa,Bowling Green,Kentucky,USA
l_jeonju-si-jeonbuk-jeollabuk-do-korea,"Jeonju-si, Jeonbuk, Jeollabuk-do",,Korea
l_midland-michigan-usa,Midland,Michigan,USA
l_fuzhou-fujian-china,"Fuzhou, Fujian",,China
l_delta-british-columbia-canada,Delta,British Columbia,Canada
l_fontana-california-usa,Fontana,California,USA
l_corona-california-usa,Corona,California,USA
l_boone-north-carolina-usa,Boone,North Carolina,USA
l_ny-new-york-usa,NY,New York,USA
l_jiangmen-guangdong-china,"JIANGMEN, Guangdong",,China
l_dalton-georgia-usa,Dalton,Georgia,USA
l_opelika-alabama-usa,Opelika,Alabama,USA
l_friendswood-texas-usa,Friendswood,Texas,USA
l_league-city-texas-usa,League City,Texas,USA
l_export-pennsylvania-usa,Export,Pennsylvania,USA
l_mahone-bay-nova-scotia-canada,Mahone Bay,Nova Scotia,Canada
l_waite-park-minnesota-usa,Waite Park,Minnesota,USA
l_aliquippa-pennsylvania-usa,Aliquippa,Pennsylvania,USA
l_kasota-minnesota-usa,Kasota,Minnesota,USA
l_fort-myers-florida-usa,Fort Myers,Florida,USA
l_nan-hong-kong,,,Hong Kong
l_trang-bang-tay-ninh-vietnam,"Trang Bang, Tay Ninh",,Vietnam
l_nan-vietnam,,,Vietnam
l_concord-ontario-canada,CONCORD,Ontario,Canada
l_maple-ridge-british-columbia-canada,Maple Ridge,British Columbia,Canada
l_skokie-illinois-usa,Skokie,Illinois,USA
l_longwood-florida-usa,"Longwood,",Florida,USA
l_victoriaville-canada,Victoriaville,,Canada
l_plantsville-connecticut-usa,Plantsville,Connecticut,USA
l_franklin-kentucky-usa,Franklin,Kentucky,USA
l_brunswick-georgia-usa,Brunswick,Georgia,USA
l_scotts-valley-california-usa,Scotts Valley,California,USA
l_englewood-colorado-usa,ENGLEWOOD,Colorado,USA
l_lake-zurich-illinois-usa,Lake Zurich,Illinois,USA
l_galston-new-south-wales-australia,"Galston, New South Wales",,Australia
l_bartow-florida-usa,Bartow,Florida,USA
l_batavia-illinois-usa,Batavia,Illinois,USA
l_wenzhou-zhejiang-china,"Wenzhou, Zhejiang",,China
l_yueqing-zhejiang-china,"Yueqing, Zhejiang",,China
l_rancho-dominguez-california-usa,Rancho Dominguez,California,USA
l_vancouver-united-states-of-america-usa,Vancouver,United States Of America,USA
l_temple-texas-usa,Temple,Texas,USA
l_north-syracuse-new-york-usa,North Syracuse,New York,USA
l_tillson-new-york-usa,Tillson,New York,USA
l_monett-missouri-usa,Monett,Missouri,USA
l_canmore-alberta-canada,Canmore,Alberta,Canada
l_chilliwack-british-columbia-canada,Chilliwack,British Columbia,Canada
l_gresham-oregon-usa,Gresham,Oregon,USA
l_livermore-california-usa,Livermore,California,USA
l_fleming-island-florida-usa,Fleming Island,Florida,USA
l_lutz-florida-usa,Lutz,Florida,USA
l_st-paul-minnesota-usa,St Paul,Minnesota,USA
l_wuhan-hubei-china,"Wuhan, Hubei",,China
l_hengshui-hebei-china,"Hengshui, Hebei",,China
