Company,Segment,City,State/Country,Booth,Website,Description,Role
Builder Innovator,Business Management & Professional Services,Boston,Massachusetts,S10088,https://www.buildersshow.com/exhibitor/aeventures,"Technology, digital solutions, finishes and structural innovations are transforming homebuilding and multifamily properties, making homes smarter, safer, greener, healthier, and more connected, productive and entertaining. It’s also improving the way new homes and multifamily properties are marketed, sold, designed, constructed and maintained. 
As builders and multifamily companies lean forward into tech, digital transformation and innovation more broadly, BuilderInnovator.com steps up as the #1 builder resource in these areas, helping all kinds of builders and multifamily property operators get a handle on the fast-moving challenges and opportunities in the space and quickly take the actions and quickly take action to realize strategic advantages. 
Visitors to the site benefit from free expert advice, insights, and vendor connections, the stuff that helps them get innovation done right! The content of this site includes tons of editorial pieces from industry experts and our Builder Innovator Summit, (formerly the TecHome Builder and Housing Transformation Summit) as well as ongoing research, reporting and conceptualizing by event and media producer AE Ventures.",Service
Builder Partnerships & The Shinn Group,Business Management & Professional Services,Littleton,Colorado,S7065,https://www.buildersshow.com/exhibitor/builderpartnerships,Please stop by and visit our booth,Service
Builder Sourcing Corporation,Business Management & Professional Services,Denver,Colorado,S8000,https://www.buildersshow.com/exhibitor/buildersourcingcorporation,Please stop by and visit our booth,Service
BuilderPad,Business Management & Professional Services,Raleigh,North Carolina,S3041,https://www.buildersshow.com/exhibitor/builderpad,"BuilderPad is the modern project management platform built specifically for custom homebuilders and remodelers. We simplify communication, scheduling, selections, and jobsite documentation so builders can keep projects on track and clients in the loop—all in one easy-to-use app. Trusted by builders nationwide, BuilderPad helps you deliver a smoother building experience, reduce costly miscommunication, and build stronger client relationships.",Service
Builder's Assistance,Business Management & Professional Services,Jacksonville,Florida,S8053,https://www.buildersshow.com/exhibitor/buildersassistance,Please stop by and visit our booth,Service
Builders Breakthrough Advisors,Business Management & Professional Services,Durham,North Carolina,S8145,https://www.buildersshow.com/exhibitor/buildersbreakthroughadvisors,Please stop by and visit our booth,Service
Builders Capital,Business Management & Professional Services,Puyallup,Washington State,S1093,https://www.buildersshow.com/exhibitor/builderscapital,Please stop by and visit our booth,Service
Builder's Edge,Business Management & Professional Services,Franklin Lakes,New Jersey,S5202,https://www.buildersshow.com/exhibitor/buildersedge,Please stop by and visit our booth,Service
Builders FirstSource,Business Management & Professional Services,Irving,Texas,S1005,https://www.buildersshow.com/exhibitor/buildersfirstsource,Please stop by and visit our booth,Service
Builders Mutual,"Construction Tools, Systems, Equipment, & Safety",Raleigh,North Carolina,S14175,https://www.buildersshow.com/exhibitor/buildersmutual,Please stop by and visit our booth,Product
"BuildersMark, LLC",Building Materials,Louisville,Kentucky,S12062,https://www.buildersshow.com/exhibitor/buildersmarkllc,Please stop by and visit our booth,Product
BuildersVA,Business Management & Professional Services,,Australia,S3089,https://www.buildersshow.com/exhibitor/buildersva,Please stop by and visit our booth,Service
Buildertrend,Business Management & Professional Services,Omaha,Nebraska,S6005,https://www.buildersshow.com/exhibitor/cbusa,"Buildertrend is the leading residential construction management platform. Since 2006, we’ve empowered contractors to take control of projects and bring efficiency, organization and seamless communication to every aspect of their business. Builders can stay on top of costs, supplies, staff and more in one convenient place – and take on more projects without adding paperwork and stress. For over 1 million users across 100 countries, Buildertrend has made it easy to run successful projects and deliver a five-star experience to homeowners. 
Key features include: 

AI-Powered Client Updates
Bids
Bills
Buildertrend Payments
Change Orders
Client Portal
Cost Inbox
Daily Logs
Email Marketing
Estimate
Files
Invoices
Job Costing Budget
Lead Management
Messages
Proposals
Punch List
Purchase Orders
Receipts
Reporting
Request for Information (RFIs)
Signatures and Documents 
Selections
Schedule
Specifications
Surveys
Taxes
Takeoff
Time Clock
To-Do’s
Warranty

To learn more about Buildertrend, visit buildertrend.com and @buildertrend.",Service
Building Innovation Corp,Interior Finishings & Home Living,Miami,Florida,S11121,https://www.buildersshow.com/exhibitor/buildinginnovationcorp,Please stop by and visit our booth,Product
BuildMax,Building Materials,Vine Grove,Kentucky,W3223,https://www.buildersshow.com/exhibitor/buildmax,Please stop by and visit our booth,Product
BuildNow,Business Management & Professional Services,Reston,Virginia,S5032,https://www.buildersshow.com/exhibitor/buildnow,Please stop by and visit our booth,Service
BuildOn Technologies,Business Management & Professional Services,Houston,Texas,S7083,https://www.buildersshow.com/exhibitor/buildontechnologies,"BuildOn Technologies is a software product and services company dedicated to providing innovative solutions for the residential homebuilding industry.    
Our flagship product, VEO™ Design Studio, is a leading option selection web platform that delivers a seamless experience for homebuyers. VEO™ provides high-quality imagery, detailed product information, and transparent pricing for a wide range of interior and exterior options, from flooring and countertops to appliances. 
In addition to VEO™, BuildOn Technologies offers Echelon ERP, a comprehensive business management solution specifically designed for the building and construction industry. Echelon ERP streamlines core business processes for interior finish companies of all sizes, providing a centralized platform for managing projects, inventory, subcontractors, and finances.",Service
Buildtuff,Building Materials,"Eagle Farm, Queensland",Australia,S7147,https://www.buildersshow.com/exhibitor/buildtuff,Please stop by and visit our booth,Product
Buildxact,Business Management & Professional Services,Austin,Texas,S8005,https://www.buildersshow.com/exhibitor/buildxact,"Built for builders who want less stress and better margins. 
Buildxact is construction management software designed specifically for residential builders and remodelers who want to spend less time on paperwork and more time building — powered by Blu, an AI construction assistant built on 15 years of construction experience to improve accuracy, save time, and increase margins. 
We simplify estimating, quoting, job management, and purchasing — turning plans into accurate estimates and live jobs without double handling or guesswork. Everything stays connected, so your team, your numbers, and your suppliers are always in sync. 
Buildxact is the only Home Depot integration that lets you do everything in one place — with live pricing, in-app ordering, and receipting directly inside Buildxact. No switching systems. No manual updates. Just faster, more accurate purchasing. 
Whether you’re quoting faster, reducing errors, or getting clearer visibility across your jobs, Buildxact helps you run a more efficient, profitable building business. 
👉 Let’s chat at IBS and see how Buildxact fits the way you build.",Service
"Burgeree New Tech Jiangsu Co., Ltd.",Interior Finishings & Home Living,"Suzhou, Jiangsu",China,W5575,https://www.buildersshow.com/exhibitor/burgeree new techjiangsu co lt,Please stop by and visit our booth,Product
Burgess Construction Consultants,Business Management & Professional Services,Fairview,Texas,S13162,https://www.buildersshow.com/exhibitor/burgess,Please stop by and visit our booth,Service
BURNSTONE,Interior Finishings & Home Living,Dania Beach,Florida,S11023,https://www.buildersshow.com/exhibitor/burnstone,Please stop by and visit our booth,Product
BusyBusy Mobile Time & Equipment Tracking,Business Management & Professional Services,St. George,Utah,S9065,https://www.buildersshow.com/exhibitor/busybusy,Please stop by and visit our booth,Service
BuyRailings,"Outdoor Living, Leisure, & Modular Structures",Brookfield,Connecticut,S6184,https://www.buildersshow.com/exhibitor/buyrailings,"BuyRailings is a division of Lido Designs, Inc. Established since 2002, we are a North American Manufacturer and distributor offering an endless variety of consumer and commercial top quality products such as components for architectural railings, safety railings, kitchen & bar railings, tubing, pipe, closet hardware, and more! 
Our Corporate Mission is to be a respected leader in the railings and architectural products industry. We strive for corporate growth and superior customer satisfaction by facilitating and achieving the 5 Rs’ – Right Product, Right Place, Right Time, Right Quantity, and Right Cost for the entire BuyRailings and LIDO Designs product portfolio. All company staff strive to always exceed customer expectations via phone, email, and in-person customer contact. 
All company staff will conduct business affairs and contribute to company growth by always exhibiting the following behavior and communication: 

Professional, courteous, honest, and efficient communication with all customers, suppliers, co-workers, and external business partners
Provide accurate and timely product information and order status to fulfill quotation requests and sales orders
Facilitate the most efficient and cost-effective sales & distribution of BuyRailings and LIDO Designs quality products
Timely resolution of any customer issues or problems
Promote a respectful, safe, and team-oriented workplace for all
 Achieve mutual corporate objectives through teamwork, effective planning, attention to detail, and superior execution",Product
"Buzon USA, Inc. ","Outdoor Living, Leisure, & Modular Structures",Houston,Texas,S4157,https://www.buildersshow.com/exhibitor/buzonpedestalinternational,Please stop by and visit our booth,Product
"BZ Tape (Dongguan) Co., Ltd.","Construction Tools, Systems, Equipment, & Safety","Dongguan, Guangdong",China,W8380,https://www.buildersshow.com/exhibitor/bztapedongguancoltd,"BZ Tape(Dongguan) Co., Ltd., is a high-tech enterprise specializing in the R&D, production, and sales of industrial tapes. Our products includes hundreds of varieties such as anti-slip tape, nano tape, acrylic foam tape, waterproof tape, masking tape, and copper/aluminum foil tape. Since its inception, We has evolved into an industry benchmark, progressing from trading to manufacturing and ultimately to brand innovation, as its development, BZ Tape has achieved a transition from a 2,000sqm factory to a 10,000sqm modern industrial park.",Product
C.H.I. Overhead Doors,Building Materials,Arthur,Illinois,W5071,https://www.buildersshow.com/exhibitor/chioverheaddoors,Please stop by and visit our booth,Product
CA Maxin Building Materials & Bathroom LLC,Interior Finishings & Home Living,Hayward,California,S10119,https://www.buildersshow.com/exhibitor/camaxinbuildingmaterialsbathro,Please stop by and visit our booth,Product
Cab Imports Inc,Building Materials,Commerce,California,S11043,https://www.buildersshow.com/exhibitor/cabimportsinc,Please stop by and visit our booth,Product
CABINETS RTG,Interior Finishings & Home Living, Lorton,Virginia,S17026,https://www.buildersshow.com/exhibitor/cabinetsrtg,"Cabinets RTG is a multifamily focused cabinetry sourcing and installation company serving developers and general contractors across the East Coast and nationwide. We specialize in factory direct cabinet supply turnkey installation and large scale project execution for multifamily mixed use and commercial developments. 
With strong domestic inventory programs and direct relationships with overseas manufacturers Cabinets RTG delivers competitive pricing consistent lead times and scalable solutions for projects of any size. Our team supports clients from early budgeting and value engineering through logistics delivery and on site installation. 
Whether supplying cabinetry only or providing a full turnkey package Cabinets RTG is built to meet the demands of today’s high volume construction environment.",Product
Cala Systems,Global Products,Wilmington,Massachusetts,W5653,https://www.buildersshow.com/exhibitor/calasystems,"Cala is the world’s first intelligent heat pump water heater designed to deliver reliable hot water while dramatically reducing energy use and operating costs. 
Unlike traditional water heaters that react after hot water runs out, Cala uses predictive intelligence to learn a home’s daily hot water patterns and heat water ahead of demand. The result: more usable hot water, lower electricity bills, and quieter operation—without homeowners needing to manage modes or settings. 
Cala integrates seamlessly with modern homes, including solar, batteries, and variable electricity pricing, and installs like other heat pump water heaters. For builders, that means a future-ready solution that meets electrification goals, qualifies for incentives, and delivers a better homeowner experience from day one. 
Built in the U.S. and backed by a 10-year parts and 3 year labor warranty, Cala Systems helps builders deliver homes that are comfortable, resilient, and ready for what’s next without asking homeowners to think twice about their hot water.",Product
CALI Floors,Interior Finishings & Home Living,Encinitas,California,S14113,https://www.buildersshow.com/exhibitor/califloors,Please stop by and visit our booth,Product
"Cambodian Summit Woodware Co., Ltd.",Interior Finishings & Home Living,"Sihanouk, Krong Preah Sihanouk",Cambodia,S12039,https://www.buildersshow.com/exhibitor/cambodiansummitwoodwarecoltd,"Summit is the best Cambodian Kitchen Cabinet Supplier and Bathroom Vanity Manufacturer, specialising in the custom kitchen cabinet. After 25 years of development and precipitation, We adhere to the original design, build high-end quality kitchen cabinet and bathroom vanity, 
and are committed to creating elegant life. We firmly occupy the important position of high end kitchen furniture in the industry. We are committed to bringing you elegant and fashionable kitchen art experience into thousands of households.",Product
Cambridge Elevating Inc.,Building Materials,Cambridge,"Ontario, Canada",W4689,https://www.buildersshow.com/exhibitor/cambridgeelevatinginc,Please stop by and visit our booth,Product
CAMO Fasteners,Building Materials,GRAND RAPIDS,Michigan,S8128,https://www.buildersshow.com/exhibitor/camonationalnail,Please stop by and visit our booth,Product
Canadian Export Development,Building Materials,BELLEVILLE,"Ontario, Canada",TBD,https://www.buildersshow.com/exhibitor/canadianexportdevelopment,Please stop by and visit our booth,Product
Canadian Timberframes Limited,Building Materials,Golden,"British Columbia, Canada",W6752,https://www.buildersshow.com/exhibitor/canadiantimberframeslimited,"Canadian Timberframes designs and manufactures heavy and mass timber structures for residential and commercial projects across North America. 
For over 25 years, we have partnered with builders, architects, and engineers to deliver complex, custom timber solutions. Our in-house design team develops detailed timber plans and construction documents aligned with architectural and structural requirements, ensuring accuracy from concept through fabrication. 
From mixed-media structures to large-scale mass timber projects, our advanced CNC manufacturing and experienced team produce precision-cut components tailored to each project. Located in the Rocky Mountains along the Trans-Canada corridor, we have direct access to premium Interior Douglas-fir and efficient transportation routes throughout North America.",Product
"Canarm, Ltd",Interior Finishings & Home Living,Ogdensburg,New York,S11118,https://www.buildersshow.com/exhibitor/canarmltd,Please stop by and visit our booth,Product
Canibuild,Business Management & Professional Services,Bakersfield,California,S1065,https://www.buildersshow.com/exhibitor/canibuild,"Canibuild is a proptech company transforming how people plan and start construction projects—whether you’re a government agency, builder or property owner. With over 1M site assessments completed and 8.5k+ clients across the US, ANZ and CA, Canibuild’s AI-powered platform delivers instant site feasibility, automated pre-permitting, and real-time 3D visualization for homes, ADUs, pools, sheds, garages, and more. From zoning checks to public inquiries and the digitization of planning workflows, Canibuild simplifies compliance and planning for everyone. Canibuild is redefining how the world builds. Learn more at canibuild.com.",Service
Cantsink LLC,Building Materials,Lilburn,Georgia,W5887,https://www.buildersshow.com/exhibitor/cantsinkllc,"Leading manufacturer and installer of helical piles.  Over 35 years of installation experience specializing in new construction piles, remediation of existing structures, earth retention and shoring applications with helical piles.  All Cantsink helical piles feature our patented helix and are backed by our industry leading product warranty.  To learn more about Cantsink and the services we offer, please visit us in the West Hall at Booth #W5887.",Product
Cardinal Financial,Business Management & Professional Services,Charlotte,North Carolina,S1296,https://www.buildersshow.com/exhibitor/cardinalfinancial,Please stop by and visit our booth,Service
CAREW Building System LLC,Building Materials,"Hai'An, Nantong City,, Jiangsu",China,W5453,https://www.buildersshow.com/exhibitor/carewbuildingsystemllc,Please stop by and visit our booth,Product
Caribou Creek Log Homes Inc,Building Materials,Bonners Ferry,Idaho,S6193,https://www.buildersshow.com/exhibitor/cariboucreekloghomesinc,"Caribou Creek Log & Timber is the nation’s premium log and timber builder, proudly American handcrafted since 1989, touting multiple generations of log and timber building experience. Our clientele are those seeking the finest log and timber structures available, both residential and commercial. As such, our boutique craftsmanship and top tier customer service is sought after not only nationwide, but also globally including locations such as New Zealand, South America and Europe.",Product
Carlisle Architectural Metals,Building Materials,Elk Grove Village,Illinois,W5343,https://www.buildersshow.com/exhibitor/petersenaluminumpacclad,Please stop by and visit our booth,Product
Carrier Corporation,Building Materials,Indianapolis,Indiana,W6267,https://www.buildersshow.com/exhibitor/carriercorporation,"We invented HVAC. Yes, really. Our founder, Willis Carrier, invented modern air conditioning in 1902. And since then, we’ve continued to build on that legacy. We understand that homes have multiple purposes - kitchen tables are also home offices, spare bedrooms turn into gyms, and living rooms become entertainment centers. That’s why at Carrier, we develop smart features designed for the ways you actually live, work and play. Because no matter how you use it, your house will always be your home—and we’ll always be imagining new ways to make it more comfortable.",Product
Cassi Home,Business Management & Professional Services,New York,New York,S8209,https://www.buildersshow.com/exhibitor/cassihome,Please stop by and visit our booth,Service
CATEGORY SPORTS ,"Outdoor Living, Leisure, & Modular Structures",Oshkosh,Wisconsin,S3184,https://www.buildersshow.com/exhibitor/categorysports,"Wholesaler/retailer of high quality knives, flashlights and accessories",Product
Cathcap,Business Management & Professional Services,Fort Worth,Texas,S1077,https://www.buildersshow.com/exhibitor/cathcap,Please stop by and visit our booth,Service
Cavco Park Models and Cabin,"Outdoor Living, Leisure, & Modular Structures",Ocala,Florida,P1742,https://www.buildersshow.com/exhibitor/cavcoparkmodelsandcabin,Please stop by and visit our booth,Product
Cavco Plant City,"Outdoor Living, Leisure, & Modular Structures",Plant City,Florida,P1543,https://www.buildersshow.com/exhibitor/cavcoplantcity,Please stop by and visit our booth,Product
Cavity Sliders USA,Building Materials,Carson,California,W6783,https://www.buildersshow.com/exhibitor/cavityslidersusa,Please stop by and visit our booth,Product
CBMmart International Limited,Building Materials,"Shenzhen, Guangdong",China,W5675,https://www.buildersshow.com/exhibitor/cbmartinternationallimited,"CBMmart, was founded in 2010 on the idea that dream homes should not be confined to dreams. We offer a wide array of affordable and customizable building products, ensuring you will find everything you need to make your house into the home you always wanted. We believe your home should be an extension of your unique style and personality, and we are here to help with that. It is time to feel at home.",Product
CCOIC (China Chamber of International Commerce),Global Products,,China,W9326,https://www.buildersshow.com/exhibitor/ccoic,Please stop by and visit our booth,Product
CEA Marketing,Business Management & Professional Services,Clearwater,Florida,S4137,https://www.buildersshow.com/exhibitor/ceamarketing,Please stop by and visit our booth,Service
Cedd Inc,Building Materials,Garden Grove,California,W7761,https://www.buildersshow.com/exhibitor/ceddinc,Please stop by and visit our booth,Product
CellarPro,Interior Finishings & Home Living,Petaluma,California,S13067,https://www.buildersshow.com/exhibitor/cellarpro,Please stop by and visit our booth,Product
Century Aluminum Railings,Building Materials,Springdale,Arkansas,S6175,https://www.buildersshow.com/exhibitor/centuryrailing,Please stop by and visit our booth,Product
"CertainTeed, LLC",Building Materials,Malvern,Pennsylvania,W4443,https://www.buildersshow.com/exhibitor/certainteed,Please stop by and visit our booth,Product
Ceveon Inc,Business Management & Professional Services,Aventura,Florida,S5158,https://www.buildersshow.com/exhibitor/ceveoninc,Please stop by and visit our booth,Service
CF + D | custom fireplace design/ VITA | Fireplaces ,Interior Finishings & Home Living,Burlington,"Ontario, Canada",S13023,https://www.buildersshow.com/exhibitor/cfdcustomfireplacedesign,"CF + D custom fireplace design has mastered the skills and technology required to design and fabricate highly innovative, one-of-a-kind fireplaces often in dimensions and finishes that have been created for the first time. With a team of highly skilled craftsmen proficient in the art of shaping, fabricating and welding steel materials CF + D is committed to breaking the paradigms and pushing the boundaries of fireplace design possibilities with Quality Creativity and Innovation  
 Now as a full design/build manufacturing company, CF + D has introduced their own production line of artistic contemporary designs with our VITA | Fireplaces collection. North Americas first lineup of  Suspended and Suspended Hood with Base models tested and certified in-house for all fuel types; Gas (NG or LP), Vapor-Fire (Water fueled/Electric) and Wood Burning. 
 Also included in our line up of fire features is our collection of Linear Built-In models incorporated the Vapor-Fire burner technology system using water/electric as a fuel source. From Single-Sided to See-Thru and now introducing our Multi-View Grandview collection, Panorama, Pier, Right Side and Left Side open. 
Visit our web site www.customfireplacedesign.com or meet us at the Show Booth#S13023",Product
ChamClad,Building Materials,Edmonton,"Alberta, Canada",W2523,https://www.buildersshow.com/exhibitor/chamclad,"ChamClad® was founded with a clear purpose: to deliver premium, Canadian-made Architectural Building Products crafted from 100% engineered recycled window-grade PVC. Our commitment to sustainability empowers architects and developers with LEED-contributing products—ranging from cladding and soffit to columns, beams, privacy walls, and interior panels. 
Innovation drives everything we do. In 2023, we introduced our 2-piece Column Wrap and Faux Beam, followed by the revolutionary Quick Click Series in 2024. This series includes the award-winning Quick Click 6"" Shadowline Soffit, recognized as Best Outdoor Product at IBS, along with our versatile Quick Click Column and Beam system designed for ultimate customization. 
Our products combine low maintenance, superior durability, and effortless installation with stunning wood-like and ultra-matte finishes. As a family-run Canadian business, ChamClad® stands for quality, customer care, and eco-conscious practices that help build a healthier planet. 
With exclusive distribution through Wausau, AmeriLux, and Gentek Building Products, ChamClad® is stocked across Canada and the U.S., ensuring short lead times and unmatched accessibility. Visit us at booth W2523 and in Show Village to experience the latest innovations!",Product
Champion Homes,"Outdoor Living, Leisure, & Modular Structures",Troy,Michigan,P1521,https://www.buildersshow.com/exhibitor/championhomes,Please stop by and visit our booth,Product
"Changzhou Enhance New Material Technology Co., Ltd.",Interior Finishings & Home Living,"Changzhou, Jiangsu",China,W9133,https://www.buildersshow.com/exhibitor/changzhouenhancenewmaterialtec,"Changzhou enhance new material technology Co., LTD. Is a specialized manufacturer of different panels, SPC/WPC wall panels, grille panels, fluted panels, acoustic panels, all kinds of moulding and accessories. Products can be waterproof and fireproof a, the surface can be 90% super glossy or 2% super mat. We are not only design products and models, but also products with installation services.",Product
"Changzhou Proluxe Home Technology Co.,Ltd",Interior Finishings & Home Living,"Changzhou, Jiangsu",China,S14109,https://www.buildersshow.com/exhibitor/changzhouproluxehometechnology,Please stop by and visit our booth,Product
Changzhou Yangzi New Plastic Institute,Building Materials,,China,W8347,https://www.buildersshow.com/exhibitor/changzhouyangzinewplasticinsti,Please stop by and visit our booth,Product
Chaos,Business Management & Professional Services,Boston,Massachusetts,S1048,https://www.buildersshow.com/exhibitor/chaos,"Founded in 1997, Chaos provides world-class visualization and design solutions that empower creative minds to bring ideas to life. 
The company serves multiple industries, including architecture and design, media and entertainment, and product e-commerce, providing an ecosystem of accessible tools that support every stage of the design and creation process. Its innovative solutions help architects, designers, VFX artists/animators, and other creative professionals share ideas, optimize workflows and create immersive experiences. 
Headquartered in Karlsruhe, Germany, Chaos has offices in 11 cities worldwide. For more information, visit chaos.com.",Service
"Chaozhou Kingero Sanitary Ware Co., Ltd.",Interior Finishings & Home Living,"Chaozhou, Guangdong",China,W8551,https://www.buildersshow.com/exhibitor/chaozhoukingerosanitarywarecol,"Kingero, located in China sanitary ware base Chaozhou City, is a large enterprise that specialized in researching, designing, manufacturing and sales of ceramic sanitary ware. 
  

Foundation: 1993
Main Market:  North America, Southeast Asia, South America and Middle East Area;
Strong points: R&D Department, strong in innovation;
Technology: Super-Votex Flushing 3.5L single flush, 4.8L single flush, 3.0/4.5L dual flush;",Product
ChargeAfter,Business Management & Professional Services,New York,New York,S5128,https://www.buildersshow.com/exhibitor/chargeafter,"ChargeAfter is a leading point-of-sale financing platform that helps merchants increase conversion and average order value by offering customers flexible, transparent payment options at checkout. With a single integration, ChargeAfter connects merchants to a broad network of financing providers—allowing shoppers to compare and choose the option that best fits their needs in real time. By intelligently matching customers with the right lenders, ChargeAfter simplifies embedded finance for merchants while expanding access to affordable financing for consumers across credit profiles.",Service
"Chembo Blinds Alliance (Guangdong) Sunshade Technology Co., Ltd","Outdoor Living, Leisure, & Modular Structures","Foshan, Guangdong",China,S6169,https://www.buildersshow.com/exhibitor/chemboblindsallianceguangdongs,"Chembo Blinds Alliance (Guangdong) Sunshade Technology Co., Ltd. was founded in 2019. The company’s headquarters is set up in Foshan City, Guangdong Province, China, covering an area of more than 16,000 square meters with 20+years experience in the shading industry. Chembo has grown into a key supplier of Pergolas, Zip blinds and Lifting Windows that are used by both residential and commercial customers worldwide. 
Culture: Innovation for development, quality for survival.Objective: To create a brand-oriented company with customer-central and market-oriented.Values: Provide customers with sun protection products that are “good quality, low price, excellent quality and novel trend”Corporate style: responsibility, persistence, and efforts to achieve a win-win situation for employees, customers, and enterprises.Service creed: Customer satisfaction is our only inspection standard.",Product
Chief Architect Software,Business Management & Professional Services,Coeur d Alene,Idaho,S4071,https://www.buildersshow.com/exhibitor/chiefarchitectinc,"Chief Architect is powerful and easy-to-use home design software for builders, designers, architects, remodelers, and kitchen, bath & interior designers. The tools in Chief Architect automate the design process, giving you more time to focus on design concepts and converting leads into sales. Photo-realistic renderings, virtual tours, and virtual reality features are a by-product of the design process, so very little effort is required to provide the client with renderings that help them visualize your design ideas. Quickly create a full set of construction documents, including structural details, cross-sections, schedules, and more. The materials list feature provides instant access to material quantities for providing cost estimates. 
Visit us in the South Hall Booth S4071. 
Download a trial version at chiefarchitect.com.",Service
China Buildman Fairs International,Global Products,,China,TBD,https://www.buildersshow.com/exhibitor/chinabuildmanfairsinternationa,Please stop by and visit our booth,Product
"CHINA HY GLOBAL EXHIBITION CO.,LTD",Building Materials,"Beijing, Beijing",China,TBD,https://www.buildersshow.com/exhibitor/chinahyglobalexhibitioncoltd,Please stop by and visit our booth,Product
ChirX LLC,Global Products,Kissimmee,Florida,S5188,https://www.buildersshow.com/exhibitor/chirxllc,Please stop by and visit our booth,Product
"Chongqing Meidi Smart Home Co., Ltd.",Interior Finishings & Home Living,"Chongqing, Chongqing",China,W8758,https://www.buildersshow.com/exhibitor/chongqingmeidismarthomegroupco,"Medi Smart Home Co., Ltd. was registered in Yongchuan Gangqiao Industrial Park in 2019. Its predecessor was Chongqing Haian Company established in 2009. It is a leading enterprise focusing on rubber wooden doors for 15 years and also a large comprehensive wood products processing factory with a plant area of 180,000 square meters and 1,368 employees.The company has Chongqing Yongchuan production base, Chongqing Dazu production base, Shandong production base, and Guangdong Zhongshan production base in China, as well as Vietnam and Thailand production bases in Southeast Asia. 6 production bases in totalOur company focus on independent innovation and industry-university-research cooperation, established an advanced wood R&D workstation, and has transformed more than 30 patented technologies. We have won the honorary titles of China Rubber Wood Industry President company, Chongqing High-tech Enterprise, Chongqing ""Specialized, Special and New"" Enterprise, etc., and was listed on the Chongqing Stock Transfer Center in January 2022 (corporate stock code: 850238).",Product
"Chongqing Seven Seas Co., Ltd.",Global Products,"Chongqing, Chongqing",China,W8557,https://www.buildersshow.com/exhibitor/chongqingsevenseascoltd,"Our management team has over 60 years of combined industry experience and knowledge, committed to supply the home build industry with top-quality doors. Over these years, we continuously invest in R&D, production line and management, strictly abide by international standards in every process from raw materials control to packaging. 
Leveraging our years of unrivaled expertise, combined with new innovative engineering, we have been cooperating with home builders, traders, distributors etc., across the states. The breadth and scope of services combined with the highest level of integrity, are what place Mcmason miles ahead of the competition in this Industry.",Product
Clarity Tools For Contractors LLC,Business Management & Professional Services,Newark,Delaware,S5186,https://www.buildersshow.com/exhibitor/claritytoolsforcontractorsllc,Please stop by and visit our booth,Service
Classen-Pol S.A.,Building Materials,"Zwonowice, Slaskie",Poland,W7289,https://www.buildersshow.com/exhibitor/classenpolsa,Please stop by and visit our booth,Product
Clean&Safe,"Construction Tools, Systems, Equipment, & Safety",Cedar,Minnesota,S10198,https://www.buildersshow.com/exhibitor/cleansafe,"KS International, Inc. is the exclusive North American distributor of Clean&Safe®, Clean&Safe®Pro and SurfacePro®.  These products provide skid-resistant, absorbent protection for floors, stairs and other surfaces during construction and are reusable. Clean&Safe® and Clean&Safe®Pro are leak-proof and safe to use on all surfaces and flooring types; Clean&Safe®Pro can be easily broom cleaned or vacuumed. SurfacePro®, our breathable surface protection, is ideal for protecting new site-finished hardwood floors or newly installed tile, stone or concrete floors that need time to cure.",Product
CleanCo Construction,Building Materials,Liberty Hill,Texas,W5653,https://www.buildersshow.com/exhibitor/cleancoconstruction,"CleanCo Construction is a construction manufacturing company specializing in pre-fabricated drywall corner solutions designed to improve speed, consistency, and durability on job sites. 
Our products simplify one of the most labor-intensive steps in drywall finishing by eliminating traditional mudding and sanding, helping builders reduce labor time, skill dependency, and rework while delivering consistent, high-quality results. 
CleanCo serves residential and light commercial construction markets.",Product
CleanCut Bath,Interior Finishings & Home Living,West Chester,Ohio,S14159,https://www.buildersshow.com/exhibitor/cleancutbath,Please stop by and visit our booth,Product
Clearco Fasteners Inc.,Building Materials,Lakeville,Minnesota,W7993,https://www.buildersshow.com/exhibitor/clearcofastenersinc,Please stop by and visit our booth,Product
ClearView Glass Railings,"Outdoor Living, Leisure, & Modular Structures",Lakeland,Minnesota,S2184,https://www.buildersshow.com/exhibitor/clearviewglassrailings,"ClearView Glass Railings is a glass railing supplier located in Minnesota. Unlike hardwoods, glass railings don’t need repeated painting or finishing for enhancing their durability. This is a vital consideration since decks/patios are continuously exposed to external, weather conditions. CVGRailings Hercules Glass panels use tempered laminated panels with patent pending Lever Spigots made of Duplex 2205 Stainless Steel. 
Neither glass nor the patent pending Lever Spigots made of Duplex 2205 Stainless Steel corrode when exposed to water. The outer surface of glass panels is better suited to tolerate temperature extremes. As a result, unlike hardwood railings, glass railings are not vulnerable to surface cracking. 
CVGRailings Hercules Glass panels are test proven to hold an amazing 2,520# vertical load and a 820# horizontal load. They are 13.5mm thick tempered laminated glass made with two layers of 6mm tempered glass that is laminated together with a 1.5mm layer of a PVB plastic glass panel. 
This makes glass railings as sturdy and safe as wood or purely metal based railings. The use of transparent glass ensures that visibility through the deck is maintained. Blocking of the external view is a major issue with metal/wood railings.",Product
